iter	Passed	Remaining
402	9808	2360
403	9834	2336
404	9858	2312
405	9883	2288
406	9907	2263
407	9959	2245
408	10016	2228
409	10058	2208
410	10100	2187
411	10137	2165
412	10167	2141
413	10212	2121
414	10252	2099
415	10275	2074
416	10296	2049
417	10317	2024
418	10339	1998
419	10361	1973
420	10383	1948
421	10404	1923
422	10424	1897
423	10446	1872
424	10468	1847
425	10489	1822
426	10510	1796
427	10531	1771
428	10559	1747
429	10593	1724
430	10625	1701
431	10661	1678
432	10695	1655
433	10738	1633
434	10775	1610
435	10805	1586
436	10836	1562
437	10866	1538
438	10893	1513
439	10925	1489
440	10958	1466
441	10989	1442
442	11011	1416
443	11032	1391
444	11053	1366
445	11077	1341
446	11099	1316
447	11124	1291
448	11147	1266
449	11172	1241
450	11195	1216
451	11219	1191
452	11242	1166
453	11264	1141
454	11288	1116
455	11311	1091
456	11332	1066
457	11355	1041
458	11380	1016
459	11422	993
460	11459	969
461	11489	944
462	11546	922
463	11617	901
464	11644	876
465	11677	852
466	11704	827
467	11727	801
468	11752	776
469	11774	751
470	11794	726
471	11816	700
472	11837	675
473	11859	650
474	11881	625
475	11904	600
476	11925	575
477	11946	549
478	11970	524
479	11991	499
480	12012	474
481	12034	449
482	12055	424
483	12077	399
484	12102	374
485	12125	349
486	12149	324
487	12171	299
488	12193	274
489	12216	249
490	12239	224
491	12262	199
492	12284	174
493	12306	149
494	12330	124
495	12353	99
496	12376	74
497	12401	49
498	12425	24
499	12449	0
