iter	RMSE
309	148.436799
310	148.4245809
311	148.2510784
312	148.1704291
313	148.0589101
314	147.9676496
315	147.7559675
316	147.6533217
317	147.1182376
318	146.9603857
319	146.767723
320	146.3499516
321	146.2050056
322	146.0358276
323	145.9007264
324	145.4092822
325	145.004242
326	144.8882751
327	144.6171479
328	144.3261282
329	144.091881
330	143.7895687
331	143.6617194
332	143.4753574
333	143.4165211
334	143.2367543
335	142.9115374
336	142.7399332
337	142.6962612
338	142.4736763
339	141.9895949
340	141.6441231
341	141.2218108
342	141.1853594
343	141.1500223
344	140.9006656
345	140.7050408
346	140.5347264
347	140.4457905
348	140.3112931
349	140.1612296
350	140.1385973
351	140.0666936
352	139.9356934
353	139.7886228
354	139.6365624
355	139.2796256
356	139.2404785
357	138.9824842
358	138.9481081
359	138.6011466
360	138.2321043
361	137.8997185
362	137.6947702
363	137.3298054
364	137.3010502
365	136.9013935
366	136.6348672
367	136.4865653
368	136.4505132
369	136.3270764
370	136.011857
371	135.9041824
372	135.5525202
373	135.5320899
374	135.1790418
375	134.7532843
376	134.6911157
377	134.6303832
378	134.5993507
379	134.2376563
380	133.8847231
381	133.69003
382	133.4199955
383	133.2025331
384	132.9030548
385	132.7520785
386	132.589839
387	132.4020093
388	132.2494662
389	132.1864876
390	132.0241899
391	131.9094627
392	131.6901415
393	131.6091521
394	131.292641
395	131.2546185
396	131.2007736
397	131.058979
398	131.0248983
399	130.9988015
400	130.8786152
401	130.7405392
402	130.5548188
403	130.2850259
404	130.2190357
405	129.9912783
406	129.7548462
407	129.6242637
408	129.474734
409	129.4065261
410	129.0649775
411	128.9831213
412	128.9337445
413	128.9245409
414	128.9160962
415	128.8794217
416	128.7601868
417	128.4636333
418	128.3705047
419	128.1037768
420	128.0571809
421	127.9863905
422	127.7610138
423	127.2480801
424	127.00075
425	126.887321
426	126.7189087
427	126.2731473
428	126.0412945
429	125.9699191
430	125.5192694
431	125.4438771
432	125.1787438
433	124.9849934
434	124.8142788
435	124.3634252
436	124.306189
437	124.2796885
438	124.2493548
439	124.1289493
440	124.1161555
441	124.0626032
442	123.8174229
443	123.7657796
444	123.7349613
445	123.6502379
446	123.3470414
447	123.2189243
448	123.1880075
449	123.1440512
450	123.1372759
451	122.9158324
452	122.9092199
453	122.8003358
454	122.5790861
455	122.5279419
456	122.2124313
457	122.0660354
458	121.9469846
459	121.8485723
460	121.6540683
461	121.6395983
462	121.3532974
463	121.1992943
464	121.1690741
465	121.0488347
466	120.9404739
467	120.7413311
468	120.6310638
469	120.5893749
470	120.554037
471	120.4477473
472	120.4020556
473	120.3536427
474	119.9814883
475	119.9567215
476	119.8601955
477	119.5385028
478	119.4830293
479	119.3667813
480	119.2657914
481	119.2501527
482	119.1856689
483	119.1753714
484	119.1200667
485	119.007623
486	118.9048717
487	118.8402324
488	118.6768191
489	118.5562534
490	118.472046
491	118.0657002
492	117.9399156
493	117.8932039
494	117.4079133
495	117.3946049
496	117.0843169
497	117.044009
498	117.0247264
499	116.9972401
